"Actual currency (%s) is not accepted by Pagantis payment gateway", "No payments are allowed in this currency"
"Something was wrong with your payment at Pagantis.com","Payment is not successful"
"Congratulations! Your payment has been successfully processed.","Your payment has been successfully processed"
"You will be redirected to Pagantis secure payment gateway.","You are being redirected to the payment gateway"
"If your browser does not redirect in a few seconds, please click the button bellow. Thanks.","Press the next button if the browser does not load correctly the payment gateway."
"Go to Pagantis","Proceed with payment"
"Title", "Título"
"New Order Status","Estado del pedido"
"Order status when payment is approved","Cambiar a este estado el pedido cuando se ha completado el pago"
"Pagantis Account ID","Pagantis: Código de la cuenta"
"Your Pagantis account identifier (check your Pagantis API account)","Código identificador de su cuenta en Pagantis (Pagantis > Configuración > API)"
"Pagantis Secret Key","Pagantis: Clave de firma"
"Your Pagantis secret key (chek your Pagantis API account)","Clave de firma para validación (Pagantis > Configuración > API)"
"Subject / Merchants name", "Concepto de pago"
"To show in customers credit card payment summary","Texto que verá el cliente en el extracto de pagos de su tarjeta"
