"Actual currency (%s) is not accepted by Pagantis payment gateway", "No se permiten pagos en la moneda utilizada (%s)"
"Something was wrong with your payment at Pagantis.com","El pago no se ha realizado correctamente"
"Congratulations! Your payment has been successfully processed.","¡Pago Realizado!"
"You will be redirected to Pagantis secure payment gateway.","Está siendo redirigido a la pasarela de pago"
"If your browser does not redirect in a few seconds, please click the button bellow. Thanks.","Pulse el siguiente botón si el navegador no carga correctamente la pasarela de pago"
"Go to Pagantis","Realizar pago"
"Title", "Título"
"New Order Status","Estado del pedido"
"Order status when payment is approved","Cambiar a este estado el pedido cuando se ha completado el pago"
"Pagantis Account ID","Pagantis: Código de la cuenta"
"Your Pagantis account identifier (check your Pagantis API account)","Código identificador de su cuenta en Pagantis (Pagantis > Configuración > API)"
"Pagantis Secret Key","Pagantis: Clave de firma"
"Your Pagantis secret key (chek your Pagantis API account)","Clave de firma para validación (Pagantis > Configuración > API)"
"Subject / Merchants name", "Concepto de pago"
"To show in customers credit card payment summary","Texto que verá el cliente en el extracto de pagos de su tarjeta"
